name,country,region,winery,rating,no_ratings,price,year,type
Domaine De Cigalus Red 2018,France,Vin de Pays,Gérard Bertrand,4.1,124,32.75,2018,red
Reserva Malbec 2017,Argentina,Patagonia,Bodega del Fin del Mundo,3.8,1242,13.69,2017,red
Haut-Médoc 2012,France,Haut-Médoc,Château Sociando-Mallet,4.0,1243,52.35,2012,red
Tempranillo 2018,Spain,Rioja,Dinastía Manzanos,3.7,1246,5.43,2018,red
Primitivo Salento Pilùna 2018,Italy,Salento,Castello Monaci,4.0,1247,6.9,2018,red
Koonunga Hill Shiraz - Cabernet 2018,Australia,South Australia,Penfolds,3.7,1249,10.6,2018,red
Adénzia Rosso 2016,Italy,Sicilia,Baglio del Cristo di Campobello,4.0,125,13.4,2016,red
Chianti Classico 2017,Italy,Chianti Classico,Dievole,3.6,125,16.9,2017,red
Memorious Pinot Noir 2016,United States,Sta. Rita Hills,Domaine de la Côte,4.0,125,54.0,2016,red
Batonnage (Red Scorpion) 2016,Austria,Niederösterreich,Scheiblhofer,4.4,125,149.0,2016,red
l'Equilibre 2016,France,Languedoc-Roussillon,Villa Symposia,3.7,125,8.72,2016,red
Rouge (Estate Reserve) 2011,South Africa,Stellenbosch,Morgenster Estate,4.2,125,36.5,2011,red
Alàuda 2015,Italy,Toscana,Ruffino,4.5,125,106.89,2015,red
Parcela 12 Graciano 2016,Spain,Castilla,Finca Constancia,3.8,125,8.99,2016,red
Copertino 2016,Italy,Copertino,Doppio Passo,4.1,125,8.77,2016,red
Le Different de Chateau de Ferrand Saint Emilion Grand Cru 2015,France,Saint-Émilion Grand Cru,Château de Ferrand,4.1,125,21.0,2015,red
Haut-Médoc 2015,France,Haut-Médoc,Château d'Aurilhac,3.6,125,13.5,2015,red
Caroso Montepulciano d'Abruzzo Riserva 2015,Italy,Montepulciano d'Abruzzo,Citra,3.9,125,13.55,2015,red
Ermitage Le Pavillon 2000,France,Hermitage,M. Chapoutier,4.6,125,419.95,2000,red
Matallana 2010,Spain,Ribera del Duero,Telmo Rodriguez,4.0,125,81.95,2010,red
Alfredo Dried Grape Shiraz 2016,Australia,South Australia,Nugan,3.8,125,22.59,2016,red
Rocche di Castiglione Barolo 2011,Italy,Barolo,Brovia,4.2,125,66.45,2011,red
Toscano Rosso 2016,Italy,Toscana,Famiglia Castellani,4.0,125,5.43,2016,red
Annonce Saint-Émilion Grand Cru 2014,France,Saint-Émilion Grand Cru,Château Belair-Monange,4.1,125,53.61,2014,red
Messiio Maremma Toscana 2015,Italy,Maremma Toscana,Fertuna,4.1,125,21.24,2015,red
Tempranillo 2017,Spain,Castilla,Conde Pinel,3.4,125,4.86,2017,red
Ventoux Artemia 2015,France,Ventoux,Château Pesquie,4.0,125,32.9,2015,red
Cabernet Sauvignon 2017,United States,California,Wines from Hahn Estate,3.7,1250,19.2,2017,red
Bourgogne Pinot Noir 2015,France,Bourgogne,Bouchard Père & Fils,3.5,1252,44.59,2015,red
Tupungato Passo Doble Malbec - Corvina 2009,Argentina,Tupungato,Masi,3.5,1252,13.69,2009,red
Reserva de Propiedad 2016,Chile,Maipo Valley,Haras de Pirque,3.5,1253,9.99,2016,red
Saint-Julien (Grand Cru Classé) 2005,France,Saint-Julien,Château Léoville Poyferré,4.4,1254,139.95,2005,red
Bordeaux Supérieur 2015,France,Bordeaux Supérieur,Château Croix Mouton,3.7,1254,14.57,2015,red
Chianti Classico 2015,Italy,Chianti Classico,Tenuta Perano,3.8,1255,16.08,2015,red
Alandra Tinto 2018,Portugal,Alentejo,Esporão,3.3,1258,4.75,2018,red
Gran Sangre de Toro Reserva 2015,Spain,Catalunya,Torres,3.7,1258,9.9,2015,red
Rubesco Rosso di Torgiano 2013,Italy,Torgiano,Lungarotti,3.5,1259,11.65,2013,red
Reserve Cabernet Sauvignon 2014,South Africa,Stellenbosch,Anura,3.9,126,16.6,2014,red
Les Terroirs Vieux Carignan 2017,France,Hérault,Calmel & Joseph,3.7,126,9.9,2017,red
Chianti Superiore 2018,Italy,Chianti,Castello del Trebbio,3.8,126,13.33,2018,red
Casalferro Toscana 2016,Italy,Toscana,Ricasoli,4.0,126,39.9,2016,red
Barbera d'Alba Trevigne 2009,Italy,Barbera d'Alba,Domenico Clerico,3.7,126,16.39,2009,red
Pelagrilli Brunello di Montalcino 2014,Italy,Brunello di Montalcino,Siro Pacenti,4.2,126,51.9,2014,red
50 & 50 2014,Italy,Toscana,Capannelle,4.3,126,95.7,2014,red
Wiener Trilogie 2016,Austria,Wien,Wieninger,3.7,126,12.87,2016,red
Gattinara Tre Vigne 2014,Italy,Gattinara,Travaglini,4.1,126,38.7,2014,red
Ocra Bolgheri Rosso 2017,Italy,Bolgheri,Tenute Guicciardini Strozzi,3.9,126,21.95,2017,red
Message in a Bottle Rosso 2018,Italy,Toscana,Tenuta Il Palagio,3.7,126,14.55,2018,red
Bricco Dei Merli Barbera d'Alba 2015,Italy,Barbera d'Alba,Elvio Cogno,3.8,126,13.95,2015,red
Lacrima di Morro d'Alba 2018,Italy,Lacrima di Morro d'Alba,Conti di Buscareto,3.4,126,7.58,2018,red
Coevo Toscana 2013,Italy,Toscana,Cecchi,4.2,126,59.02,2013,red
Amarone della Valpolicella Case Vecie 2013,Italy,Amarone della Valpolicella Classico,Brigaldara,4.0,126,36.75,2013,red
Syrah Sicilia 2018,Italy,Sicilia,Feudo Arancio,3.8,126,6.75,2018,red
Cabernet Sauvignon 2017,Australia,Riverina,Richland,3.5,126,9.78,2017,red
Collezione di Famiglia Syrah Terre Siciliane 2018,Italy,Terre Siciliane,Barone Montalto,4.1,126,8.32,2018,red
Tre 2017,Italy,Toscana,Brancaia,3.6,126,11.5,2017,red
Haut-Médoc 2010,France,Haut-Médoc,Château Sénéjac,3.7,1262,35.95,2010,red
Saint-Julien (Grand Cru Classé) 2011,France,Saint-Julien,Château Léoville Poyferré,4.2,1264,109.0,2011,red
Plumbago Nero d'Avola Sicilia 2017,Italy,Sicilia,Planeta,3.7,1264,10.5,2017,red
Chianti Classico Vigneto Gran Selezione San Lorenzo 2013,Italy,Chianti Classico,Castello di Ama,3.9,1265,31.53,2013,red
