name,country,region,winery,rating,no_ratings,price,year,type
Il Soller Prosecco di Valdobbiadene Superiore Extra Dry N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Marsuret,3.8,1525,10.9,N.V.,sparkling
Cuve No 741 Extra Brut Champagne N.V.,France,Champagne,Jacquesson,4.1,1533,49.95,N.V.,sparkling
Tradition Brut Champagne N.V.,France,Champagne,J.M. Gobillard & Fils,3.9,1540,28.95,N.V.,sparkling
Cremant d'Alsace Cuve Prestige N.V.,France,Crmant d'Alsace,Ren Mur,3.8,1549,15.9,N.V.,sparkling
Carte Blanche Champagne (Demi-Sec) N.V.,France,Champagne,Louis Roederer,4.1,1615,44.74,N.V.,sparkling
Brut Reserva N.V.,Spain,Cava,Vilarnau,3.5,1641,11.08,N.V.,sparkling
Prosecco Treviso N.V.,Italy,Prosecco di Treviso,Cecilia Beretta,3.8,1673,11.8,N.V.,sparkling
Gold Ros N.V.,Italy,Oltrep Pavese,Bottega,3.7,1679,20.5,N.V.,sparkling
Cuve 28+ Brut N.V.,Italy,Trento,Rotari,3.6,1692,13.15,N.V.,sparkling
Crmant de Loire L'Extra N.V.,France,Crmant de Loire,Langlois-Chateau,3.8,1711,13.3,N.V.,sparkling
Crmant d'Alsace Cuve Julien Brut N.V.,France,Crmant d'Alsace,Dopff au Moulin,3.6,1737,13.95,N.V.,sparkling
Valdobbiadene Prosecco Superiore Brut N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Col Vetoraz,3.8,1767,12.5,N.V.,sparkling
Extra Dry N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Bepin de Eto,3.9,1772,10.5,N.V.,sparkling
Mthode Cap Classique Ros N.V.,South Africa,Western Cape,Pongrcz,3.7,1777,15.5,N.V.,sparkling
Prosecco Treviso Extra Dry N.V.,Italy,Prosecco di Treviso,Le Contesse,3.7,1778,7.55,N.V.,sparkling
Grande Ros N.V.,France,Champagne,Montaudon,3.9,1779,24.99,N.V.,sparkling
Demi-Sec Champagne N.V.,France,Champagne,Taittinger,4.2,1814,47.18,N.V.,sparkling
Brut Ros N.V.,Italy,Trento,Rotari,3.4,1830,9.75,N.V.,sparkling
Brut Champagne 2004,France,Champagne,Krug,4.6,1853,229.0,2004,sparkling
Prosecco Valdobbiadene Superiore N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Villa Sandi,3.8,1861,10.5,N.V.,sparkling
Grand Blanc de Blancs Brut Champagne N.V.,France,Champagne,Gosset,4.1,1874,50.69,N.V.,sparkling
Reserve Ros Champagne N.V.,France,Champagne,Charles Heidsieck,4.1,1884,62.69,N.V.,sparkling
Extra Age Brut Champagne N.V.,France,Champagne,Lanson,4.2,1915,49.95,N.V.,sparkling
Prosecco Extra Dry Spumante N.V.,Italy,Prosecco di Treviso,Valdo,3.6,1922,7.5,N.V.,sparkling
Sparkling Ros N.V.,Italy,Vino d'Italia,Ruffino,3.7,1944,16.54,N.V.,sparkling
Valdobbiadene Prosecco Superiore Brut N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Nino Franco,3.7,1996,13.9,N.V.,sparkling
Prosecco Brut N.V.,Italy,Prosecco,Maschio,3.6,2034,10.01,N.V.,sparkling
